datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2026-01-25 00:05:00,0.3978,0.0433,232.343,1.712,2.756,1.24,5.577
2026-01-25 00:10:00,0.4363,0.0736,227.554,1.917,3.378,1.908,5.578
2026-01-25 00:15:00,0.4176,0.0624,233.517,1.788,3.856,0.745,8.423
2026-01-25 00:20:00,0.4221,0.0586,230.904,1.828,3.389,0.872,6.699
2026-01-25 00:25:00,0.4097,0.0669,231.521,1.769,2.744,1.539,6.379
2026-01-25 00:30:00,0.4525,0.0771,229.448,1.972,4.048,2.888,5.083
2026-01-25 00:35:00,0.4057,0.0407,227.68,1.782,3.833,2.14,3.617
2026-01-25 00:40:00,0.3788,0.0442,230.182,1.646,1.843,0.798,7.632
2026-01-25 00:45:00,0.4141,0.0709,230.468,1.797,3.011,2.443,5.075
2026-01-25 00:50:00,0.3756,0.0626,226.536,1.658,2.189,2.001,5.208
2026-01-25 00:55:00,0.4104,0.0807,231.983,1.769,1.823,1.938,4.008
2026-01-25 01:00:00,0.3389,0.0597,232.491,1.458,2.733,1.955,6.369
2026-01-25 01:05:00,0.3578,0.0698,228.176,1.568,3.291,1.319,3.105
2026-01-25 01:10:00,0.3926,0.0668,227.444,1.726,2.009,1.089,7.365
2026-01-25 01:15:00,0.4053,0.0526,229.243,1.768,3.61,1.713,4.088
2026-01-25 01:20:00,0.3923,0.0434,230.06,1.705,3.587,1.73,7.616
2026-01-25 01:25:00,0.3813,0.0679,229.34,1.662,3.622,1.662,6.655
2026-01-25 01:30:00,0.3704,0.0609,229.848,1.611,2.116,1.664,3.849
2026-01-25 01:35:00,0.3413,0.0358,230.554,1.48,3.222,2.188,5.258
2026-01-25 01:40:00,0.35,0.0476,226.579,1.545,2.113,2.162,4.285
2026-01-25 01:45:00,0.3528,0.069,226.867,1.555,2.607,2.133,3.726
2026-01-25 01:50:00,0.3824,0.0574,223.194,1.713,1.706,2.17,7.294
2026-01-25 01:55:00,0.3751,0.0537,232.356,1.614,1.659,2.395,5.018
2026-01-25 02:00:00,0.3195,0.0466,230.038,1.389,2.674,0.69,4.254
2026-01-25 02:05:00,0.3633,0.0439,232.62,1.562,2.455,1.087,3.799
2026-01-25 02:10:00,0.3557,0.0487,227.156,1.566,2.014,1.473,4.667
2026-01-25 02:15:00,0.3522,0.0483,230.061,1.531,1.859,2.078,6.773
2026-01-25 02:20:00,0.3739,0.0393,230.537,1.622,3.019,1.567,4.812
2026-01-25 02:25:00,0.3761,0.0665,228.596,1.645,1.568,2.034,7.608
2026-01-25 02:30:00,0.3671,0.052,226.116,1.623,3.255,0.867,7.401
2026-01-25 02:35:00,0.3293,0.06,234.365,1.405,1.524,0.965,3.341
2026-01-25 02:40:00,0.3334,0.0617,233.498,1.428,1.762,1.776,3.518
2026-01-25 02:45:00,0.3424,0.0415,229.045,1.495,2.198,0.853,6.546
2026-01-25 02:50:00,0.3553,0.0589,231.276,1.536,2.485,1.216,4.705
2026-01-25 02:55:00,0.3357,0.0494,228.788,1.467,2.094,1.004,2.816
2026-01-25 03:00:00,0.3349,0.063,227.511,1.472,2.022,1.144,3.937
2026-01-25 03:05:00,0.3258,0.0396,234.568,1.389,3.189,1.697,5.149
2026-01-25 03:10:00,0.3289,0.0552,225.862,1.456,2.602,1.153,6.027
2026-01-25 03:15:00,0.366,0.0588,229.286,1.596,1.575,1.626,3.66
2026-01-25 03:20:00,0.3737,0.0484,230.211,1.623,2.495,0.81,3.631
2026-01-25 03:25:00,0.3438,0.0391,234.128,1.469,3.188,1.957,6.828
2026-01-25 03:30:00,0.3553,0.0587,232.241,1.53,2.105,1.249,6.297
2026-01-25 03:35:00,0.3376,0.0587,225.819,1.495,1.593,1.658,5.303
2026-01-25 03:40:00,0.3162,0.0416,229.993,1.375,2.716,1.674,5.675
2026-01-25 03:45:00,0.3308,0.0544,230.053,1.438,2.548,0.898,4.53
2026-01-25 03:50:00,0.352,0.0491,229.429,1.534,2.637,2.143,6.27
2026-01-25 03:55:00,0.3312,0.0567,231.55,1.431,1.484,1.573,4.3
2026-01-25 04:00:00,0.3722,0.0446,226.477,1.643,1.856,1.418,4.237
2026-01-25 04:05:00,0.306,0.0578,228.978,1.336,2.386,0.789,5.339
2026-01-25 04:10:00,0.3719,0.0479,231.197,1.609,2.001,2.372,5.05
2026-01-25 04:15:00,0.3607,0.0493,231.699,1.557,2.564,1.963,7.431
2026-01-25 04:20:00,0.352,0.0372,230.374,1.528,2.585,0.953,4.471
2026-01-25 04:25:00,0.354,0.0393,229.279,1.544,2.06,1.188,7.028
2026-01-25 04:30:00,0.3111,0.0472,229.7,1.355,3.018,1.778,6.221
2026-01-25 04:35:00,0.3349,0.0425,231.851,1.444,3.041,1.723,3.803
2026-01-25 04:40:00,0.3396,0.0623,230.085,1.476,2.846,1.866,6.218
2026-01-25 04:45:00,0.3563,0.0362,227.395,1.567,1.647,1.38,4.898
2026-01-25 04:50:00,0.3251,0.0448,226.916,1.433,1.556,1.706,6.437
2026-01-25 04:55:00,0.3251,0.0435,226.276,1.437,2.289,1.17,4.539
2026-01-25 05:00:00,0.3944,0.0402,233.639,1.688,2.013,1.074,6.955
2026-01-25 05:05:00,0.4315,0.0485,232.019,1.86,4.261,2.084,6.115
2026-01-25 05:10:00,0.4255,0.0602,229.734,1.852,2.167,2.786,4.758
2026-01-25 05:15:00,0.4097,0.0612,228.866,1.79,2.872,1.319,4.435
2026-01-25 05:20:00,0.4295,0.0603,228.565,1.879,2.702,1.706,5.863
2026-01-25 05:25:00,0.4149,0.0635,232.733,1.783,3.276,2.09,7.376
2026-01-25 05:30:00,0.4245,0.0677,234.761,1.808,2.088,1.857,6.748
2026-01-25 05:35:00,0.3829,0.0387,228.487,1.676,2.557,2.253,6.487
2026-01-25 05:40:00,0.3846,0.0563,232.846,1.652,2.219,2.106,4.562
2026-01-25 05:45:00,0.3812,0.0749,230.07,1.657,3.563,0.746,5.471
2026-01-25 05:50:00,0.3625,0.0551,229.469,1.58,1.596,2.414,3.222
2026-01-25 05:55:00,0.4029,0.0676,233.761,1.724,3.827,2.187,7.476
2026-01-25 06:00:00,0.8608,0.1129,229.975,3.743,7.769,5.153,17.824
2026-01-25 06:05:00,0.867,0.1538,230.741,3.757,5.117,4.268,11.635
2026-01-25 06:10:00,0.869,0.1541,230.621,3.768,7.622,5.169,7.361
2026-01-25 06:15:00,0.8215,0.125,225.936,3.636,3.572,1.831,8.589
2026-01-25 06:20:00,0.8611,0.1702,230.721,3.732,8.445,2.932,14.2
2026-01-25 06:25:00,0.8524,0.0959,228.593,3.729,6.17,5.156,13.625
2026-01-25 06:30:00,0.8163,0.083,226.447,3.605,4.845,2.184,14.842
2026-01-25 06:35:00,0.8268,0.1464,228.707,3.615,5.194,1.701,9.514
2026-01-25 06:40:00,0.8378,0.1514,228.687,3.663,3.815,4.698,14.978
2026-01-25 06:45:00,0.8938,0.1001,232.575,3.843,8.882,5.223,15.134
2026-01-25 06:50:00,0.8286,0.1049,227.341,3.645,3.642,2.055,10.249
2026-01-25 06:55:00,0.8447,0.086,228.025,3.705,6.747,5.016,12.8
2026-01-25 07:00:00,1.435,0.1856,230.588,6.223,9.686,7.319,14.601
2026-01-25 07:05:00,1.3285,0.2356,226.686,5.86,12.889,5.669,18.586
2026-01-25 07:10:00,1.4888,0.226,228.352,6.52,8.34,8.661,28.805
2026-01-25 07:15:00,1.5032,0.2026,225.839,6.656,10.929,5.656,20.441
2026-01-25 07:20:00,1.6748,0.2297,232.3,7.21,11.691,4.416,31.533
2026-01-25 07:25:00,1.4561,0.1458,229.247,6.352,12.037,4.501,22.878
2026-01-25 07:30:00,1.4634,0.1902,229.96,6.364,6.678,6.135,15.705
2026-01-25 07:35:00,1.4106,0.2322,232.29,6.072,7.472,6.098,22.001
2026-01-25 07:40:00,1.3108,0.2588,228.194,5.744,7.102,7.464,19.213
2026-01-25 07:45:00,1.4637,0.2704,229.22,6.386,12.401,8.231,19.491
2026-01-25 07:50:00,1.4449,0.1479,227.359,6.355,7.614,6.608,14.201
2026-01-25 07:55:00,1.4697,0.279,227.354,6.465,11.041,8.187,19.904
2026-01-25 08:00:00,1.6903,0.3014,227.699,7.423,9.165,4.438,15.623
2026-01-25 08:05:00,1.9332,0.3442,228.769,8.45,17.771,3.706,18.497
2026-01-25 08:10:00,1.7042,0.2485,229.038,7.441,16.467,10.285,23.062
2026-01-25 08:15:00,1.8965,0.2651,230.722,8.22,13.638,3.877,23.044
2026-01-25 08:20:00,2.034,0.265,227.772,8.93,12.655,5.899,40.481
2026-01-25 08:25:00,1.718,0.1831,230.799,7.444,9.504,8.836,22.385
2026-01-25 08:30:00,1.7221,0.2115,231.213,7.448,7.676,6.396,30.665
2026-01-25 08:35:00,1.7458,0.2176,228.83,7.629,10.008,10.559,26.119
2026-01-25 08:40:00,1.6683,0.2476,227.988,7.318,13.318,5.266,28.586
2026-01-25 08:45:00,1.5702,0.2744,230.213,6.821,11.43,2.71,18.19
2026-01-25 08:50:00,1.7178,0.2532,229.493,7.485,16.617,5.445,34.539
2026-01-25 08:55:00,1.6458,0.1741,230.551,7.138,10.662,7.5,24.62
2026-01-25 09:00:00,1.6813,0.3292,233.925,7.187,13.811,5.963,31.482
2026-01-25 09:05:00,1.5985,0.3105,230.172,6.945,11.223,6.939,20.615
2026-01-25 09:10:00,1.8315,0.327,228.402,8.019,13.108,11.08,17.557
2026-01-25 09:15:00,1.6419,0.327,227.773,7.209,9.406,10.228,27.51
2026-01-25 09:20:00,1.6729,0.2584,227.869,7.341,11.41,5.013,14.103
2026-01-25 09:25:00,1.7446,0.3424,226.343,7.708,12.06,6.939,24.904
2026-01-25 09:30:00,1.5426,0.1659,232.332,6.64,12.786,6.807,16.573
2026-01-25 09:35:00,1.6295,0.2225,224.417,7.261,15.73,10.448,26.357
2026-01-25 09:40:00,1.691,0.2072,231.22,7.314,10.294,11.262,34.795
2026-01-25 09:45:00,1.4518,0.1736,227.83,6.372,6.407,4.129,20.526
2026-01-25 09:50:00,1.6024,0.1828,228.719,7.006,11.316,8.495,29.728
2026-01-25 09:55:00,1.633,0.2649,227.755,7.17,11.99,5.808,23.973
2026-01-25 10:00:00,1.5727,0.2801,233.615,6.732,8.098,2.685,22.854
2026-01-25 10:05:00,1.4485,0.2286,230.041,6.297,12.461,2.481,28.918
2026-01-25 10:10:00,1.463,0.1678,231.976,6.307,14.501,5.807,28.467
2026-01-25 10:15:00,1.6158,0.2926,233.251,6.927,15.647,6.638,29.337
2026-01-25 10:20:00,1.5901,0.2601,230.409,6.901,8.454,2.83,19.139
2026-01-25 10:25:00,1.5642,0.2171,227.011,6.89,14.505,7.98,23.692
2026-01-25 10:30:00,1.541,0.258,229.448,6.716,12.754,4.834,17.155
2026-01-25 10:35:00,1.4342,0.1807,228.144,6.286,9.773,6.405,19.91
2026-01-25 10:40:00,1.4797,0.199,228.741,6.469,10.832,4.692,21.287
2026-01-25 10:45:00,1.4761,0.283,229.763,6.424,13.466,3.694,27.646
2026-01-25 10:50:00,1.4108,0.1821,229.665,6.143,9.83,5.224,27.559
2026-01-25 10:55:00,1.6241,0.2387,231.03,7.03,10.303,4.593,21.951
2026-01-25 11:00:00,1.4845,0.2806,231.393,6.415,10.456,6.444,12.699
2026-01-25 11:05:00,1.3912,0.2376,229.665,6.057,10.496,3.702,26.579
2026-01-25 11:10:00,1.55,0.1646,231.009,6.71,8.168,6.523,16.293
2026-01-25 11:15:00,1.4352,0.1647,228.627,6.277,13.522,3.521,23.116
2026-01-25 11:20:00,1.5602,0.1572,233.287,6.688,12.637,7.835,13.489
2026-01-25 11:25:00,1.5658,0.2554,228.586,6.85,12.309,8.512,20.868
2026-01-25 11:30:00,1.3917,0.2015,232.993,5.973,6.607,3.088,28.75
2026-01-25 11:35:00,1.4909,0.1691,226.31,6.588,11.467,5.972,14.301
2026-01-25 11:40:00,1.4303,0.28,229.049,6.244,6.969,2.891,19.494
2026-01-25 11:45:00,1.4511,0.222,229.173,6.332,6.712,6.758,17.663
2026-01-25 11:50:00,1.5347,0.1906,230.697,6.652,11.115,4.587,30.152
2026-01-25 11:55:00,1.4057,0.2109,232.155,6.055,9.16,6.051,26.99
2026-01-25 12:00:00,1.5247,0.2561,226.877,6.721,11.59,6.486,17.236
2026-01-25 12:05:00,1.5445,0.1662,227.23,6.797,7.239,9.712,14.438
2026-01-25 12:10:00,1.5729,0.2005,226.495,6.944,10.508,6.94,25.437
2026-01-25 12:15:00,1.6421,0.2967,233.3,7.039,8.516,7.524,20.589
2026-01-25 12:20:00,1.6682,0.2435,230.744,7.23,16.556,6.13,27.916
2026-01-25 12:25:00,1.6396,0.2536,227.289,7.214,12.198,10.513,14.321
2026-01-25 12:30:00,1.6513,0.2366,228.892,7.214,13.502,9.169,16.514
2026-01-25 12:35:00,1.5552,0.1623,232.954,6.676,9.432,4.811,26.303
2026-01-25 12:40:00,1.6424,0.1915,229.305,7.163,7.751,9.67,18.047
2026-01-25 12:45:00,1.5027,0.2172,229.157,6.558,14.816,5.753,28.631
2026-01-25 12:50:00,1.7399,0.2104,228.047,7.629,10.155,10.109,15.773
2026-01-25 12:55:00,1.6036,0.1684,227.438,7.051,10.646,9.271,17.683
2026-01-25 13:00:00,1.329,0.245,232.958,5.705,10.576,3.47,27.664
2026-01-25 13:05:00,1.3407,0.2656,234.185,5.725,5.779,6.934,18.43
2026-01-25 13:10:00,1.4717,0.2639,227.537,6.468,13.088,4.591,25.196
2026-01-25 13:15:00,1.4285,0.2648,233.512,6.117,10.423,4.506,15.166
2026-01-25 13:20:00,1.4887,0.1849,228.782,6.507,8.619,4.687,23.755
2026-01-25 13:25:00,1.4508,0.2844,231.334,6.271,6.566,7.681,25.257
2026-01-25 13:30:00,1.3846,0.1657,233.526,5.929,7.081,3.899,16.981
2026-01-25 13:35:00,1.3043,0.2545,229.637,5.68,12.245,2.18,24.384
2026-01-25 13:40:00,1.2402,0.2474,229.18,5.411,10.13,6.502,19.689
2026-01-25 13:45:00,1.3047,0.2233,232.003,5.624,7.338,3.291,17.219
2026-01-25 13:50:00,1.3996,0.2773,227.225,6.16,6.367,3.064,21.42
2026-01-25 13:55:00,1.3773,0.2162,232.868,5.914,11.287,3.931,21.407
2026-01-25 14:00:00,1.2171,0.1533,230.357,5.284,9.135,4.34,12.661
2026-01-25 14:05:00,1.3355,0.1919,228.556,5.843,8.716,5.404,17.853
2026-01-25 14:10:00,1.3691,0.2182,228.49,5.992,8.609,2.587,17.287
2026-01-25 14:15:00,1.2907,0.1385,226.541,5.697,7.01,8.415,17.224
2026-01-25 14:20:00,1.3539,0.2197,228.66,5.921,10.93,7.104,24.164
2026-01-25 14:25:00,1.3286,0.2632,229.34,5.793,13.059,4.361,19.085
2026-01-25 14:30:00,1.2247,0.1458,227.347,5.387,6.358,3.993,24.601
2026-01-25 14:35:00,1.2959,0.2323,229.886,5.637,9.913,5.066,15.556
2026-01-25 14:40:00,1.2894,0.246,231.182,5.577,8.563,6.186,17.445
2026-01-25 14:45:00,1.315,0.2556,229.466,5.731,8.905,3.154,23.893
2026-01-25 14:50:00,1.3206,0.2589,231.657,5.701,7.461,3.449,20.019
2026-01-25 14:55:00,1.186,0.1804,227.982,5.202,10.65,7.073,17.993
2026-01-25 15:00:00,1.2642,0.25,232.508,5.437,8.846,3.727,11.378
2026-01-25 15:05:00,1.3879,0.2439,230.305,6.027,10.183,4.952,18.482
2026-01-25 15:10:00,1.4079,0.1636,233.863,6.02,8.369,8.48,16.498
2026-01-25 15:15:00,1.4155,0.2091,236.036,5.997,7.399,7.053,29.478
2026-01-25 15:20:00,1.6375,0.2814,228.824,7.156,7.644,5.527,19.958
2026-01-25 15:25:00,1.3924,0.1737,228.927,6.082,11.602,7.081,26.998
2026-01-25 15:30:00,1.4027,0.2301,229.384,6.115,7.45,2.476,23.547
2026-01-25 15:35:00,1.363,0.2272,231.489,5.888,11.166,7.285,17.167
2026-01-25 15:40:00,1.3234,0.1539,233.315,5.672,8.528,5.428,20.02
2026-01-25 15:45:00,1.2546,0.1964,228.368,5.494,8.271,7.192,23.637
2026-01-25 15:50:00,1.3306,0.2357,230.953,5.762,9.186,8.569,25.782
2026-01-25 15:55:00,1.2513,0.1876,229.66,5.448,7.898,7.878,12.936
2026-01-25 16:00:00,1.4176,0.1435,231.545,6.122,6.739,8.807,17.83
2026-01-25 16:05:00,1.4279,0.1441,233.774,6.108,8.529,6.037,17.883
2026-01-25 16:10:00,1.4907,0.2023,229.399,6.498,11.983,5.169,13.206
2026-01-25 16:15:00,1.6652,0.3208,225.825,7.374,13.406,6.647,26.329
2026-01-25 16:20:00,1.3463,0.1654,231.86,5.807,7.858,6.888,25.605
2026-01-25 16:25:00,1.5144,0.2475,227.918,6.644,10.374,9.217,19.843
2026-01-25 16:30:00,1.3198,0.1613,229.642,5.747,6.989,3.566,23.207
2026-01-25 16:35:00,1.3738,0.1816,231.968,5.923,7.41,8.597,22.228
2026-01-25 16:40:00,1.4616,0.2701,230.743,6.335,6.287,8.394,19.044
2026-01-25 16:45:00,1.3831,0.2391,229.746,6.02,12.998,9.074,13.964
2026-01-25 16:50:00,1.3118,0.1437,228.56,5.739,7.078,7.96,22.562
2026-01-25 16:55:00,1.3573,0.1939,222.75,6.094,7.457,4.162,25.81
2026-01-25 17:00:00,1.7192,0.1769,231.746,7.418,9.967,3.776,29.066
2026-01-25 17:05:00,1.6342,0.242,229.368,7.125,8.024,3.641,13.984
2026-01-25 17:10:00,1.7393,0.2891,233.783,7.44,13.733,5.431,19.195
2026-01-25 17:15:00,1.7337,0.1939,230.995,7.506,7.984,8.214,15.954
2026-01-25 17:20:00,1.665,0.2146,228.647,7.282,8.241,9.471,25.746
2026-01-25 17:25:00,1.8788,0.2626,232.667,8.075,14.895,11.579,33.423
2026-01-25 17:30:00,1.7166,0.3295,232.878,7.371,10.553,8.215,16.677
2026-01-25 17:35:00,1.4656,0.2921,229.452,6.387,12.159,2.484,27.572
2026-01-25 17:40:00,1.6215,0.1694,232.984,6.96,12.029,4.213,24.772
2026-01-25 17:45:00,1.5449,0.2721,228.612,6.758,8.745,3.345,26.199
2026-01-25 17:50:00,1.6754,0.2298,230.399,7.272,13.341,5.836,34.305
2026-01-25 17:55:00,1.5668,0.2182,231.429,6.77,7.591,6.539,14.696
2026-01-25 18:00:00,2.1189,0.3717,231.962,9.135,15.459,3.991,41.527
2026-01-25 18:05:00,2.2289,0.4276,231.554,9.626,14.971,7.598,22.087
2026-01-25 18:10:00,2.3009,0.4489,229.168,10.04,13.182,5.896,30.476
2026-01-25 18:15:00,2.084,0.3287,232.734,8.955,16.026,10.216,39.547
2026-01-25 18:20:00,2.169,0.2944,229.689,9.443,20.062,8.65,42.646
2026-01-25 18:25:00,2.1233,0.3795,228.577,9.289,21.219,8.797,31.134
2026-01-25 18:30:00,2.0629,0.2581,228.614,9.023,15.909,7.849,32.51
2026-01-25 18:35:00,2.2746,0.3558,234.85,9.685,14.847,14.664,39.089
2026-01-25 18:40:00,2.1008,0.2854,228.145,9.208,11.513,5.757,39.375
2026-01-25 18:45:00,1.9188,0.3179,233.229,8.227,10.873,8.155,18.904
2026-01-25 18:50:00,2.154,0.2672,227.161,9.482,15.0,11.517,39.762
2026-01-25 18:55:00,2.3129,0.2756,231.22,10.003,14.592,10.294,33.188
2026-01-25 19:00:00,2.6648,0.5112,230.743,11.549,25.308,16.82,37.217
2026-01-25 19:05:00,2.3886,0.2632,234.053,10.205,15.084,8.495,32.561
2026-01-25 19:10:00,2.5588,0.3853,228.364,11.205,16.236,10.197,37.611
2026-01-25 19:15:00,2.8032,0.3422,227.673,12.312,17.951,5.913,56.474
2026-01-25 19:20:00,2.5301,0.2629,229.709,11.014,22.889,11.921,38.421
2026-01-25 19:25:00,2.6434,0.2739,234.162,11.289,21.049,8.215,53.524
2026-01-25 19:30:00,2.6338,0.3095,227.79,11.562,20.41,6.501,27.884
2026-01-25 19:35:00,2.37,0.4424,223.529,10.602,14.494,10.403,41.202
2026-01-25 19:40:00,2.441,0.313,230.149,10.606,21.817,10.565,45.125
2026-01-25 19:45:00,2.0403,0.398,232.374,8.78,8.958,4.175,34.323
2026-01-25 19:50:00,2.3233,0.3675,227.465,10.214,21.482,11.983,36.987
2026-01-25 19:55:00,2.4548,0.3527,232.12,10.575,17.57,11.747,37.787
2026-01-25 20:00:00,2.5667,0.4056,227.41,11.287,16.657,6.704,49.01
2026-01-25 20:05:00,3.0204,0.4581,229.634,13.153,21.345,12.123,56.192
2026-01-25 20:10:00,2.6303,0.4626,231.882,11.343,21.2,13.857,25.94
2026-01-25 20:15:00,2.7852,0.3572,227.031,12.268,11.812,12.015,52.753
2026-01-25 20:20:00,2.852,0.3859,230.454,12.375,26.383,10.393,38.528
2026-01-25 20:25:00,2.9949,0.5673,233.037,12.852,20.284,9.818,34.455
2026-01-25 20:30:00,2.5425,0.4949,231.185,10.998,15.68,11.997,48.829
2026-01-25 20:35:00,2.8407,0.5376,228.198,12.449,14.127,18.073,39.014
2026-01-25 20:40:00,2.6461,0.3756,233.797,11.318,17.809,13.298,48.789
2026-01-25 20:45:00,2.5012,0.4453,231.646,10.798,17.664,5.104,29.079
2026-01-25 20:50:00,2.7064,0.3996,225.349,12.01,17.649,10.745,22.686
2026-01-25 20:55:00,2.7124,0.4062,232.161,11.683,22.04,16.602,39.402
2026-01-25 21:00:00,2.3991,0.289,228.572,10.496,15.887,5.132,22.998
2026-01-25 21:05:00,2.5319,0.4029,230.491,10.985,24.749,16.738,44.974
2026-01-25 21:10:00,2.5102,0.2977,232.52,10.796,19.234,16.096,29.581
2026-01-25 21:15:00,2.5876,0.3446,228.626,11.318,22.97,5.325,35.914
2026-01-25 21:20:00,2.6448,0.4906,225.886,11.708,12.707,16.751,24.917
2026-01-25 21:25:00,2.7242,0.3288,233.764,11.654,17.664,9.487,32.463
2026-01-25 21:30:00,2.3216,0.2487,232.911,9.968,14.235,13.675,42.026
2026-01-25 21:35:00,2.6842,0.2869,229.782,11.682,20.101,10.089,27.454
2026-01-25 21:40:00,2.1563,0.4185,232.134,9.289,19.816,8.347,35.412
2026-01-25 21:45:00,2.3584,0.3554,229.077,10.295,10.905,11.41,46.7
2026-01-25 21:50:00,2.4603,0.3468,230.242,10.686,11.293,13.627,41.409
2026-01-25 21:55:00,2.4605,0.4456,229.639,10.715,22.457,4.517,45.448
2026-01-25 22:00:00,1.8155,0.3333,229.178,7.922,9.819,8.41,17.602
2026-01-25 22:05:00,1.8916,0.252,230.898,8.192,15.261,4.919,21.692
2026-01-25 22:10:00,1.8913,0.3203,226.98,8.333,13.87,6.424,36.91
2026-01-25 22:15:00,1.8919,0.3351,229.371,8.248,17.075,6.445,32.677
2026-01-25 22:20:00,2.0219,0.3346,230.786,8.761,9.9,8.112,33.013
2026-01-25 22:25:00,1.9464,0.2241,234.595,8.297,9.583,6.496,32.369
2026-01-25 22:30:00,1.8099,0.3395,227.081,7.97,13.42,3.988,24.454
2026-01-25 22:35:00,1.9202,0.2955,231.301,8.302,18.602,4.599,17.071
2026-01-25 22:40:00,1.8381,0.2357,231.575,7.937,12.108,3.371,33.341
2026-01-25 22:45:00,1.8736,0.267,225.308,8.316,11.38,7.528,31.508
2026-01-25 22:50:00,1.8676,0.1938,231.026,8.084,14.391,12.025,26.601
2026-01-25 22:55:00,1.762,0.1987,232.201,7.588,16.905,3.956,34.501
2026-01-25 23:00:00,0.9768,0.1725,231.472,4.22,8.839,6.25,12.245
2026-01-25 23:05:00,1.0634,0.1063,229.79,4.628,10.606,5.672,12.774
2026-01-25 23:10:00,1.0717,0.1518,230.833,4.643,4.606,5.202,20.623
2026-01-25 23:15:00,1.0443,0.159,230.425,4.532,5.039,5.11,19.107
2026-01-25 23:20:00,1.0462,0.1103,225.776,4.634,8.079,6.068,15.453
2026-01-25 23:25:00,1.091,0.2153,230.483,4.734,9.768,2.402,10.875
2026-01-25 23:30:00,0.9757,0.1196,229.082,4.259,5.689,4.089,10.754
2026-01-25 23:35:00,1.0124,0.132,228.238,4.436,5.631,5.216,16.741
2026-01-25 23:40:00,0.961,0.1253,236.212,4.068,8.416,4.421,12.634
2026-01-25 23:45:00,0.955,0.1175,233.132,4.096,4.293,5.568,17.944
2026-01-25 23:50:00,1.0243,0.1026,227.125,4.51,6.475,2.077,20.699
2026-01-25 23:55:00,1.0265,0.1775,230.867,4.446,7.306,5.256,18.891
2026-01-26 00:00:00,0.3884,0.0764,233.645,1.662,2.888,1.684,5.07
2026-01-26 00:05:00,0.4056,0.0497,226.26,1.793,3.414,1.445,7.378
2026-01-26 00:10:00,0.3866,0.0643,230.192,1.68,2.411,1.302,4.92
2026-01-26 00:15:00,0.4015,0.0699,230.31,1.743,3.108,1.916,4.184
2026-01-26 00:20:00,0.3803,0.0703,226.814,1.677,2.883,2.328,3.328
2026-01-26 00:25:00,0.387,0.0551,230.949,1.676,2.849,1.605,5.091
2026-01-26 00:30:00,0.371,0.0483,232.791,1.594,2.932,2.148,7.282
2026-01-26 00:35:00,0.3678,0.0487,233.77,1.573,2.089,1.352,4.163
2026-01-26 00:40:00,0.3713,0.0636,229.377,1.619,1.73,0.809,4.052
2026-01-26 00:45:00,0.3439,0.0625,236.254,1.456,1.672,0.679,7.035
2026-01-26 00:50:00,0.3983,0.0471,224.855,1.771,2.182,0.766,3.444
